,Unnamed: 0,clicks,description,id,image,link,preferences,price,rating,score,title,Creation Date,Modified Date,Slug,Creator,unique id,parsed_preferences,list_preferences,list_gender,list_age_category,list_interest,list_occasion,list_relationship,list_style,all_unique_id
0,0,,"HTVRONT HTV Vinyl Rolls Heat Transfer Vinyl - 12"" x 8ft White HTV Vinyl for Shirts, Iron on Vinyl for Cricut & Cameo - Easy to Cut & Weed for Heat Vinyl Design (White)",6501d9d33c31ed0ac091f627,"https://images-na.ssl-images-amazon.com/images/I/51Cv1lx9NyL._AC_UL600_SR600,400_.jpg",https://www.amazon.com/HTVRONT-Vinyl-Rolls-Heat-Transfer/dp/B089ZVY1L1/ref=zg_bs_g_arts-crafts_sccl_13/132-6973416-4920936?psc=1,"Female , Teenager , Young Adult , Adult , Fashion and Accessories , Arts and Crafts , Home and Decor , Premium Brands , Practical , Birthdays , Anniversaries , Holidays , Thank You Gifts",7.99,4.6,,"HTVRONT HTV Vinyl Rolls Heat Transfer Vinyl - 12"" x 8ft White HTV Vinyl for Shirts, Iron on Vinyl for Cricut & Cameo - Easy to Cut & Weed for Heat Vinyl Design (White)","Sep 13, 2023 9:27 pm","Sep 13, 2023 9:36 pm",,hello@nocoded.space,1694620672267x381920653884119800,"{'gender': ['female'], 'age_category': ['12 - 18', '18 - 25', '25 - 45'], 'interest': ['fashion and accessories', 'arts and crafts', 'home and decor'], 'occasion': ['birthdays', 'anniversaries', 'holidays', 'thank you gifts'], 'relationship': [], 'style': ['premium brands', 'practical']}","['female', 'teenager', 'young adult', 'adult', 'fashion and accessories', 'arts and crafts', 'home and decor', 'premium brands', 'practical', 'birthdays', 'anniversaries', 'holidays', 'thank you gifts']",['female'],"['12 - 18', '18 - 25', '25 - 45']","['fashion and accessories', 'arts and crafts', 'home and decor']","['birthdays', 'anniversaries', 'holidays', 'thank you gifts']",[],"['premium brands', 'practical']",1694620672267x381920653884119800
1,1,,,6501d9d33c31ed0ac091f629,,https://www.amazon.com/Westcott-Straight-Titanium-Bonded-Scissors/dp/B072RV8SC7/ref=zg_bs_g_arts-crafts_sccl_14/132-6973416-4920936?psc=1,"Female , Fashion and Accessories , Premium Brands , Practical , Birthdays , Holidays , Appreciation , Thank You Gifts , Arts and Crafts , Beauty and Self-Care , Other",,,,,"Sep 13, 2023 9:27 pm","Nov 27, 2023 8:57 pm",,hello@nocoded.space,1694620673343x992782356731079700,"{'gender': ['female'], 'age_category': [], 'interest': ['fashion and accessories', 'arts and crafts', 'beauty and self-care'], 'occasion': ['birthdays', 'holidays', 'appreciation', 'thank you gifts'], 'relationship': [], 'style': ['premium brands', 'practical']}","['female', 'fashion and accessories', 'premium brands', 'practical', 'birthdays', 'holidays', 'appreciation', 'thank you gifts', 'arts and crafts', 'beauty and self-care']",['female'],[],"['fashion and accessories', 'arts and crafts', 'beauty and self-care']","['birthdays', 'holidays', 'appreciation', 'thank you gifts']",[],"['premium brands', 'practical']",1694620673343x992782356731079700
2,2,,Rit Dye Liquid – Wide Selection of Colors – 8 Oz. (Black),6501d9d33c31ed0ac091f62b,"https://images-na.ssl-images-amazon.com/images/I/51QQkbKjTAL._AC_UL600_SR600,400_.jpg",https://www.amazon.com/Craft-County-Rit-Dye-Liquid/dp/B089HYBR2P/ref=zg_bs_g_arts-crafts_sccl_15/132-6973416-4920936?psc=1,"Female , Male , Young Adult , Adult , Fashion and Accessories , Arts and Crafts , Home and Decor , Birthdays , Holidays , Appreciation , Thank You Gifts",5.5,4.3,,Rit Dye Liquid – Wide Selection of Colors – 8 Oz. (Black),"Sep 13, 2023 9:27 pm","Sep 13, 2023 9:37 pm",,hello@nocoded.space,1694620674623x550682125616425800,"{'gender': ['female', 'male'], 'age_category': ['18 - 25', '25 - 45'], 'interest': ['fashion and accessories', 'arts and crafts', 'home and decor'], 'occasion': ['birthdays', 'holidays', 'appreciation', 'thank you gifts'], 'relationship': [], 'style': []}","['female', 'male', 'young adult', 'adult', 'fashion and accessories', 'arts and crafts', 'home and decor', 'birthdays', 'holidays', 'appreciation', 'thank you gifts']","['female', 'male']","['18 - 25', '25 - 45']","['fashion and accessories', 'arts and crafts', 'home and decor']","['birthdays', 'holidays', 'appreciation', 'thank you gifts']",[],[],1694620674623x550682125616425800
3,3,,Paxcoo 1mm Elastic Bracelet String Cord Stretch Bead Cord for Jewelry Making and Bracelet Making White,6501d9d33c31ed0ac091f62d,"https://images-na.ssl-images-amazon.com/images/I/517YQJNAMeS._AC_UL600_SR600,400_.jpg",https://www.amazon.com/Paxcoo-Elastic-Bracelet-Stretch-Jewelry/dp/B07D4J1MQ4/ref=zg_bs_g_arts-crafts_sccl_16/132-6973416-4920936?psc=1,"Female , Child , Teenager , Young Adult , Adult , Arts and Crafts , Fashion and Accessories , Birthdays , Holidays , Appreciation , Thank You Gifts",6.99,4.4,,Paxcoo 1mm Elastic Bracelet String Cord Stretch Bead Cord for Jewelry Making and Bracelet Making White,"Sep 13, 2023 9:27 pm","Sep 13, 2023 9:37 pm",,hello@nocoded.space,1694620675339x495948848736904400,"{'gender': ['female'], 'age_category': ['under 12', '12 - 18', '18 - 25', '25 - 45'], 'interest': ['arts and crafts', 'fashion and accessories'], 'occasion': ['birthdays', 'holidays', 'appreciation', 'thank you gifts'], 'relationship': ['child'], 'style': []}","['female', 'child', 'teenager', 'young adult', 'adult', 'arts and crafts', 'fashion and accessories', 'birthdays', 'holidays', 'appreciation', 'thank you gifts']",['female'],"['under 12', '12 - 18', '18 - 25', '25 - 45']","['arts and crafts', 'fashion and accessories']","['birthdays', 'holidays', 'appreciation', 'thank you gifts']",['child'],[],1694620675339x495948848736904400
4,4,,Amazon.com Gift Card for any amount in a Reveal,6501d9d43c31ed0ac091f8c3,"https://images-na.ssl-images-amazon.com/images/I/917qj6mmceL._AC_UL600_SR600,400_.jpg",https://www.amazon.com/Amazon-com-Gift-Card-Birthday-Reveal/dp/B01K8RL9C2/ref=zg_bs_g_gift-cards_sccl_19/132-6973416-4920936?psc=1,"Male , Female , Young Adult , Newborns , Child , Teenager , Young Adult , Adult , Elder , Tech and Gadgets , Fashion and Accessories , Books and Learning , Travel and Adventure , Food and Cooking , Arts and Crafts , Music and Entertainment , Outdoor and Nature , Beauty and Self-Care , Home and Decor , Sports and Hobbies , Pets and Animal Lovers , Art and Culture , Social Impact and Charity , Spirituality , Cars and Automotive , Classic and Timeless , Comfortable Yet Stylish , Premium Brands , Minimalistic , Practical , Chill , Birthdays , Anniversaries , Holidays , Promotions and Achievements , Graduations , Appreciation , Thank You Gifts , Apologies",20.0,4.9,,Amazon.com Gift Card for any amount in a Reveal,"Sep 13, 2023 10:10 pm","Sep 13, 2023 10:10 pm",,hello@nocoded.space,1694623243081x559101251033145040,"{'gender': ['male', 'female'], 'age_category': ['18 - 25', 'under 3', 'under 12', '12 - 18', '18 - 25', '25 - 45', '45 - 65'], 'interest': ['tech and gadgets', 'fashion and accessories', 'books and learning', 'travel and adventure', 'food and cooking', 'arts and crafts', 'music and entertainment', 'outdoor and nature', 'beauty and self-care', 'home and decor', 'sports and hobbies', 'pets and animal lovers', 'art and culture', 'social impact and charity', 'spirituality'], 'occasion': ['newborns', 'birthdays', 'anniversaries', 'holidays', 'promotions and achievements', 'graduations', 'appreciation', 'thank you gifts', 'apologies'], 'relationship': ['child'], 'style': ['classic and timeless', 'comfortable yet stylish', 'premium brands', 'minimalistic', 'practical', 'chill']}","['male', 'female', 'young adult', 'newborns', 'child', 'teenager', 'young adult', 'adult', 'elder', 'tech and gadgets', 'fashion and accessories', 'books and learning', 'travel and adventure', 'food and cooking', 'arts and crafts', 'music and entertainment', 'outdoor and nature', 'beauty and self-care', 'home and decor', 'sports and hobbies', 'pets and animal lovers', 'art and culture', 'social impact and charity', 'spirituality', 'cars and automotive', 'classic and timeless', 'comfortable yet stylish', 'premium brands', 'minimalistic', 'practical', 'chill', 'birthdays', 'anniversaries', 'holidays', 'promotions and achievements', 'graduations', 'appreciation', 'thank you gifts', 'apologies']","['male', 'female']","['18 - 25', 'under 3', 'under 12', '12 - 18', '18 - 25', '25 - 45', '45 - 65']","['tech and gadgets', 'fashion and accessories', 'books and learning', 'travel and adventure', 'food and cooking', 'arts and crafts', 'music and entertainment', 'outdoor and nature', 'beauty and self-care', 'home and decor', 'sports and hobbies', 'pets and animal lovers', 'art and culture', 'social impact and charity', 'spirituality']","['newborns', 'birthdays', 'anniversaries', 'holidays', 'promotions and achievements', 'graduations', 'appreciation', 'thank you gifts', 'apologies']",['child'],"['classic and timeless', 'comfortable yet stylish', 'premium brands', 'minimalistic', 'practical', 'chill']",1694623243081x559101251033145040
5,5,,Amazon.com Gift Card for any amount in various designs,6501d9d43c31ed0ac091f8c7,"https://images-na.ssl-images-amazon.com/images/I/81fMZOZ7A4L._AC_UL600_SR600,400_.jpg",https://www.amazon.com/Amazon-com-Gift-Card-Flower-Reveal/dp/B01IE42ST4/ref=zg_bs_g_gift-cards_sccl_25/132-6973416-4920936?psc=1,"Male , Female , Young Adult , Newborns , Child , Teenager , Young Adult , Adult , Elder , Tech and Gadgets , Fashion and Accessories , Books and Learning , Travel and Adventure , Food and Cooking , Arts and Crafts , Music and Entertainment , Outdoor and Nature , Beauty and Self-Care , Home and Decor , Sports and Hobbies , Pets and Animal Lovers , Classic and Timeless , Practical , Birthdays , Anniversaries , Holidays , Promotions and Achievements , Graduations , Valentine's Day , Appreciation , Thank You Gifts",15.0,4.9,,Amazon.com Gift Card for any amount in various designs,"Sep 13, 2023 10:10 pm","Sep 13, 2023 10:10 pm",,hello@nocoded.space,1694623243652x347361436851366200,"{'gender': ['male', 'female'], 'age_category': ['18 - 25', 'under 3', 'under 12', '12 - 18', '18 - 25', '25 - 45', '45 - 65'], 'interest': ['tech and gadgets', 'fashion and accessories', 'books and learning', 'travel and adventure', 'food and cooking', 'arts and crafts', 'music and entertainment', 'outdoor and nature', 'beauty and self-care', 'home and decor', 'sports and hobbies', 'pets and animal lovers'], 'occasion': ['newborns', 'birthdays', 'anniversaries', 'holidays', 'promotions and achievements', 'graduations', ""valentine's day"", 'appreciation', 'thank you gifts'], 'relationship': ['child'], 'style': ['classic and timeless', 'practical']}","['male', 'female', 'young adult', 'newborns', 'child', 'teenager', 'young adult', 'adult', 'elder', 'tech and gadgets', 'fashion and accessories', 'books and learning', 'travel and adventure', 'food and cooking', 'arts and crafts', 'music and entertainment', 'outdoor and nature', 'beauty and self-care', 'home and decor', 'sports and hobbies', 'pets and animal lovers', 'classic and timeless', 'practical', 'birthdays', 'anniversaries', 'holidays', 'promotions and achievements', 'graduations', ""valentine's day"", 'appreciation', 'thank you gifts']","['male', 'female']","['18 - 25', 'under 3', 'under 12', '12 - 18', '18 - 25', '25 - 45', '45 - 65']","['tech and gadgets', 'fashion and accessories', 'books and learning', 'travel and adventure', 'food and cooking', 'arts and crafts', 'music and entertainment', 'outdoor and nature', 'beauty and self-care', 'home and decor', 'sports and hobbies', 'pets and animal lovers']","['newborns', 'birthdays', 'anniversaries', 'holidays', 'promotions and achievements', 'graduations', ""valentine's day"", 'appreciation', 'thank you gifts']",['child'],"['classic and timeless', 'practical']",1694623243652x347361436851366200
6,6,,"Apple Barrel Acrylic Paint in Assorted Colors (2 oz), 20501, Bright Red",6501d9d33c31ed0ac091f619,"https://images-na.ssl-images-amazon.com/images/I/71yM4OKdX9L._AC_UL600_SR600,400_.jpg",https://www.amazon.com/Apple-Barrel-Acrylic-Assorted-Colors/dp/B006AT7P6M/ref=zg_bs_g_arts-crafts_sccl_6/132-6973416-4920936?psc=1,"Arts and Crafts , Female , Child , Teenager , Young Adult , Adult , Home and Decor , Minimalistic , Practical , Birthdays , Holidays , Thank You Gifts",0.5,4.7,,"Apple Barrel Acrylic Paint in Assorted Colors (2 oz), 20501, Bright Red","Sep 13, 2023 10:10 pm","Sep 13, 2023 10:10 pm",,hello@nocoded.space,1694623244438x103467340935090580,"{'gender': ['female'], 'age_category': ['under 12', '12 - 18', '18 - 25', '25 - 45'], 'interest': ['arts and crafts', 'home and decor'], 'occasion': ['birthdays', 'holidays', 'thank you gifts'], 'relationship': ['child'], 'style': ['minimalistic', 'practical']}","['arts and crafts', 'female', 'child', 'teenager', 'young adult', 'adult', 'home and decor', 'minimalistic', 'practical', 'birthdays', 'holidays', 'thank you gifts']",['female'],"['under 12', '12 - 18', '18 - 25', '25 - 45']","['arts and crafts', 'home and decor']","['birthdays', 'holidays', 'thank you gifts']",['child'],"['minimalistic', 'practical']",1694623244438x103467340935090580
7,7,,"Anker Portable Charger, 313 Power Bank (PowerCore Slim 10K) 10000mAh Battery Pack with USB-C (Input Only) and PowerIQ Charging Technology for iPhone, Samsung Galaxy, and More.",6501d9d43c31ed0ac091f743,"https://images-na.ssl-images-amazon.com/images/I/71rC6tBu0NL._AC_UL600_SR600,400_.jpg",https://www.amazon.com/Anker-Ultra-Compact-High-Speed-VoltageBoost-Technology/dp/B07QXV6N1B/ref=zg_bs_g_wireless_sccl_11/132-6973416-4920936?psc=1,"Male , Female , Young Adult , Adult , Tech and Gadgets , Travel and Adventure , Practical , Premium Brands , Minimalistic , Birthdays , Holidays , Graduations , Appreciation , Thank You Gifts",19.71,4.5,,"Anker Portable Charger, 313 Power Bank (PowerCore Slim 10K) 10000mAh Battery Pack with USB-C (Input Only) and PowerIQ Charging Technology for iPhone, Samsung Galaxy, and More.","Sep 13, 2023 10:10 pm","Sep 13, 2023 10:10 pm",,hello@nocoded.space,1694623245655x643865798750550500,"{'gender': ['male', 'female'], 'age_category': ['18 - 25', '25 - 45'], 'interest': ['tech and gadgets', 'travel and adventure'], 'occasion': ['birthdays', 'holidays', 'graduations', 'appreciation', 'thank you gifts'], 'relationship': [], 'style': ['practical', 'premium brands', 'minimalistic']}","['male', 'female', 'young adult', 'adult', 'tech and gadgets', 'travel and adventure', 'practical', 'premium brands', 'minimalistic', 'birthdays', 'holidays', 'graduations', 'appreciation', 'thank you gifts']","['male', 'female']","['18 - 25', '25 - 45']","['tech and gadgets', 'travel and adventure']","['birthdays', 'holidays', 'graduations', 'appreciation', 'thank you gifts']",[],"['practical', 'premium brands', 'minimalistic']",1694623245655x643865798750550500
8,8,,TOYSDONE Yes No Decision Maker Coin - Souvenir Coins - Yes No Coin - The Decision Coin - Metal Coins Collection - Decision Maker Coins - Double Sided Coin - Lucky Coin - Choice Coin - Collectors Coin,6501d9d43c31ed0ac091f7eb,"https://images-na.ssl-images-amazon.com/images/I/81iEafar8pL._AC_UL600_SR600,400_.jpg",https://www.amazon.com/TOYSDONE-Yes-Decision-Maker-Coin/dp/B07X8Y24HR/ref=zg_bs_g_coins_sccl_5/132-6973416-4920936?psc=1,"Male , Female , Child , Teenager , Young Adult , Adult , Comfortable Yet Stylish , Practical , Sports and Hobbies , Art and Culture , Premium Brands , Minimalistic , Birthdays , Holidays , Thank You Gifts",3.99,4.8,,TOYSDONE Yes No Decision Maker Coin - Souvenir Coins - Yes No Coin - The Decision Coin - Metal Coins Collection - Decision Maker Coins - Double Sided Coin - Lucky Coin - Choice Coin - Collectors Coin,"Sep 13, 2023 10:10 pm","Sep 13, 2023 10:10 pm",,hello@nocoded.space,1694623246522x845243131192662700,"{'gender': ['male', 'female'], 'age_category': ['under 12', '12 - 18', '18 - 25', '25 - 45'], 'interest': ['sports and hobbies', 'art and culture'], 'occasion': ['birthdays', 'holidays', 'thank you gifts'], 'relationship': ['child'], 'style': ['comfortable yet stylish', 'practical', 'premium brands', 'minimalistic']}","['male', 'female', 'child', 'teenager', 'young adult', 'adult', 'comfortable yet stylish', 'practical', 'sports and hobbies', 'art and culture', 'premium brands', 'minimalistic', 'birthdays', 'holidays', 'thank you gifts']","['male', 'female']","['under 12', '12 - 18', '18 - 25', '25 - 45']","['sports and hobbies', 'art and culture']","['birthdays', 'holidays', 'thank you gifts']",['child'],"['comfortable yet stylish', 'practical', 'premium brands', 'minimalistic']",1694623246522x845243131192662700
9,9,,Simple Modern 40 oz Tumbler with Handle and Straw Lid | Insulated Cup Reusable Stainless Steel Water Bottle Travel Mug Cupholder Friendly | Gifts for Women Men Him Her | Trek Collection | Almond Birch,6501d9d53c31ed0ac091f987,"https://images-na.ssl-images-amazon.com/images/I/71nhPE7vxHL._AC_UL600_SR600,400_.jpg",https://www.amazon.com/Simple-Modern-Tumbler-Handle-Insulated/dp/B0BHBP1X1B/ref=zg_bs_g_home-garden_sccl_10/132-6973416-4920936?psc=1,"Male , Female , Young Adult , Adult , Fitness and Wellness , Travel and Adventure , Outdoor and Nature , Practical , Comfortable Yet Stylish , Premium Brands , Minimalistic , Birthdays , Anniversaries , Holidays , Graduations , Thank You Gifts",29.99,4.8,,Simple Modern 40 oz Tumbler with Handle and Straw Lid | Insulated Cup Reusable Stainless Steel Water Bottle Travel Mug Cupholder Friendly | Gifts for Women Men Him Her | Trek Collection | Almond Birch,"Sep 13, 2023 10:10 pm","Sep 13, 2023 10:10 pm",,hello@nocoded.space,1694623247385x346401521758800600,"{'gender': ['male', 'female'], 'age_category': ['18 - 25', '25 - 45'], 'interest': ['fitness and wellness', 'travel and adventure', 'outdoor and nature'], 'occasion': ['birthdays', 'anniversaries', 'holidays', 'graduations', 'thank you gifts'], 'relationship': [], 'style': ['practical', 'comfortable yet stylish', 'premium brands', 'minimalistic']}","['male', 'female', 'young adult', 'adult', 'fitness and wellness', 'travel and adventure', 'outdoor and nature', 'practical', 'comfortable yet stylish', 'premium brands', 'minimalistic', 'birthdays', 'anniversaries', 'holidays', 'graduations', 'thank you gifts']","['male', 'female']","['18 - 25', '25 - 45']","['fitness and wellness', 'travel and adventure', 'outdoor and nature']","['birthdays', 'anniversaries', 'holidays', 'graduations', 'thank you gifts']",[],"['practical', 'comfortable yet stylish', 'premium brands', 'minimalistic']",1694623247385x346401521758800600
