,Unnamed: 0.1,Unnamed: 0,Id,profile_unique_id,Liked Products/User,Recommended Products,Products,list_Preferences,list_interest,list_style,list_occasion,list_gender,list_age,list_relationship,join_key,list_Profiles,user_unique_id,Creation Date,Modified Date,parsed_preferences,Genereated_Recommends,Random_Generated_Clicks,all_unique_id
0,0,0,6501e7f8ed483b44ccfc6410,1694623736087x429458487501914100,,,"1694623243081x559101251033145040 , 1694623243652x347361436851366200 , 1694623736325x786855163871755400 , 1694623737227x891018150607019100 , 1694623738492x572974849673625100 , 1694623739186x998593428018686600 , 1694623262343x618531793909620000 , 1694623741256x448623241962008640 , 1694623742455x786508786880762500 , 1694623743199x933704732028886900 , 1694623744214x335759372182767600 , 1694623745250x286026127664058780 , 1694623746217x888939833812938600 , 1694623747214x831767386212038300 , 1694623748243x172711977890042560 , 1694623749273x340209493614805900 , 1694623750262x292849093002088400 , 1694623751271x391270845290324000 , 1694623752286x801528546306744300 , 1694623753295x687039477062814100 , 1694623754337x680228773059955200 , 1694623246522x845243131192662700 , 1694623756568x909857361380613400 , 1694623758645x939087300543111000 , 1694623759851x510205612768900100 , 1694623760410x244305069797907680 , 1694623761417x296151345482511550 , 1694623762477x780696158880835800 , 1694623763456x517166110242896100","['classic and timeless', 'comfortable yet stylish', 'premium brands', 'fashion and accessories', 'tech and gadgets', 'fitness and wellness', 'books and learning']","['fashion and accessories', 'tech and gadgets', 'fitness and wellness', 'books and learning']","['classic and timeless', 'comfortable yet stylish', 'premium brands']",['promotions and achievements'],['male'],['under 12'],['child'],1694623736087x429458487501914100,1694623736087x429458487501914100 ,1693322543599x164140048412396260,"Aug 29, 2023 8:52 pm","Sep 14, 2023 2:02 am","{'interest': ['fashion and accessories', 'tech and gadgets', 'fitness and wellness', 'books and learning'], 'style': ['classic and timeless', 'comfortable yet stylish', 'premium brands'], 'occasion': ['promotions and achievements'], 'gender': ['male'], 'age_category': ['under 12'], 'relationship': ['child']}","['1694623243081x559101251033145040', '1694623243652x347361436851366200', '1696351105169x905659894498306300', '1696351119839x637901933835382100']","['1704795547455x828924155228323800', '1696265555701x401857524822091700', '1696265562816x496162930983332000', '1696265568959x799696197241046800']",unq_id-0
1,1,1,6501e9a0ed483b44ccfc6414,1694624159991x266020334487470080,1694624157909x286171674076893380,,"1694624157909x286171674076893380 , 1694624159818x868008542447611400 , 1694624160871x306705514795158100 , 1694624161786x357360476901912060 , 1694624162835x159320189314302370 , 1694624163797x464045470178577900 , 1694624164793x640812920138353300 , 1694624165806x512503996512605060 , 1694624166818x511649925901232100 , 1694624167831x674483890945901800 , 1694624168793x587823948883816600 , 1694624169809x732271297627763500 , 1694624171194x746533025970146400 , 1694624171991x961001211226920400 , 1694624172817x646059179069280900 , 1694624173813x537341786837843400 , 1694624174809x138473902802900280 , 1694624175801x637388771770342500 , 1694624176810x431431098873602560 , 1694624177877x368703835059625000 , 1694624178786x929018762003831600 , 1694624179849x310535157583667460 , 1694624180791x778866432614965900 , 1694624181832x501652098630526600 , 1694624182900x745874876437097200 , 1694624183814x773993488915677700 , 1694624184790x486181897691762000 , 1694624185872x877734246480824200 , 1694624186836x492700808256919100","['classic and timeless', 'comfortable yet stylish', 'fitness and wellness', 'tech and gadgets']","['fitness and wellness', 'tech and gadgets']","['classic and timeless', 'comfortable yet stylish']",['housewarmings'],['male'],['under 12'],['girlfriend'],1694624159991x266020334487470080, 1694624159991x266020334487470080,1693322543599x164140048412396260,"Aug 29, 2023 8:52 pm","Sep 14, 2023 2:02 am","{'interest': ['fitness and wellness', 'tech and gadgets'], 'style': ['classic and timeless', 'comfortable yet stylish'], 'occasion': ['housewarmings'], 'gender': ['male'], 'age_category': ['under 12'], 'relationship': ['girlfriend']}",[],['1696695518858x527211256736563900'],unq_id-1
2,2,2,6514549ff4ba6d036de2d8ea,1695831201040x986932789340799000,,,"1695831199012x679712269232390000 , 1695831199878x235405818154857730 , 1695831200910x655912403449751700 , 1695831201919x939463238120724900 , 1695831202987x252898367831274180 , 1695831205196x333400160699331100 , 1695831203962x794468453792556800 , 1695831205015x619121392443113000 , 1695831206218x120507135992285800 , 1695831207158x637178621020857900 , 1695831208021x746263788784077600 , 1695831212247x162230949687725000 , 1695831213240x863924367808470900 , 1695831209141x330353803306080900 , 1695831210114x861502163221169700 , 1695831210863x403692609997476900 , 1695831212091x455614176071984700 , 1695831212896x876049415601754000 , 1695831214095x897278236614363600 , 1695831220217x359932269654386100 , 1695831221194x796684583974607400 , 1695831215833x210457796051987550 , 1695831216835x121108249562346560 , 1695831217888x961296328275531500 , 1695831218864x647126621441502800 , 1695831220158x666942262930257000 , 1695831227300x923781314568697500 , 1695831221946x539966642295249600 , 1695831223185x914237898607839600 , 1695942598636x785946791533862000 , 1695942599430x202597535257337920 , 1695942600357x419393516727613060 , 1695942601474x177590380869441200 , 1695942602446x422012243339750660 , 1695942603345x176319672058410600 , 1695942604548x763821546127128300 , 1695942605389x873060492437519900 , 1695942606558x569238888724172800 , 1695942607494x101333340793251950 , 1695942608475x763583049173187000 , 1695942609422x808413214044237700 , 1695942610434x580175664502505100 , 1695942611638x877932826170158200 , 1695942612387x759926721420278700 , 1695942613406x489355204015536000 , 1695942614414x891099131138326900 , 1695942615489x118023354765366620 , 1695942616424x954139705547970300 , 1695942617431x366584418378585340 , 1695942618369x886667192040005400 , 1695942619381x401387138660709300 , 1695942620412x320545898175664400 , 1695942621337x102411879911716200 , 1695942622432x327888983817303800 , 1695942623465x480132509200809700 , 1695942624390x257877509490928480 , 1695942625356x987948487080829400 , 1695942626347x179695169501877380 , 1695942627369x480666362334261950","['comfortable yet stylish', 'practical', 'minimalistic', 'premium brands', 'tech and gadgets', 'books and learning', 'food and cooking', 'music and entertainment', 'travel and adventure', 'fashion and accessories', 'fitness and wellness', 'outdoor and nature', 'beauty and self-care', 'chill', 'sports and hobbies']","['tech and gadgets', 'books and learning', 'food and cooking', 'music and entertainment', 'travel and adventure', 'fashion and accessories', 'fitness and wellness', 'outdoor and nature', 'beauty and self-care', 'sports and hobbies']","['comfortable yet stylish', 'practical', 'minimalistic', 'premium brands', 'chill']",['birthdays'],['female'],['12 - 18'],['parent'],1695831201040x986932789340799000,1695831201040x986932789340799000 ,1694722217997x980919365130472000,"Sep 15, 2023 1:40 am","Oct 5, 2023 1:27 am","{'interest': ['tech and gadgets', 'books and learning', 'food and cooking', 'music and entertainment', 'travel and adventure', 'fashion and accessories', 'fitness and wellness', 'outdoor and nature', 'beauty and self-care', 'sports and hobbies'], 'style': ['comfortable yet stylish', 'practical', 'minimalistic', 'premium brands', 'chill'], 'occasion': ['birthdays'], 'gender': ['female'], 'age_category': ['12 - 18'], 'relationship': ['parent']}",[],['1695831202987x252898367831274180'],unq_id-2
3,3,3,6514549ff4ba6d036de2d8ea,1695836031004x236058207429328900,"1695836031337x217863097764540600 , 1695831202987x252898367831274180 , 1695831199012x679712269232390000",,"1695831202987x252898367831274180 , 1695836031337x217863097764540600 , 1695831199012x679712269232390000 , 1695831199878x235405818154857730 , 1695836035527x964718007351421200 , 1695831212091x455614176071984700 , 1695831221194x796684583974607400 , 1695831208210x172904031718950300 , 1695831223185x914237898607839600 , 1695831223933x848143711084510200 , 1695831225238x628465663529718800 , 1695831226921x940069189750330400 , 1695831205015x619121392443113000 , 1695831206218x120507135992285800 , 1695831208021x746263788784077600 , 1695836046363x541348611087370600 , 1695831212247x162230949687725000 , 1695831213240x863924367808470900 , 1695836049324x740687961475276500 , 1695831210114x861502163221169700 , 1695831210863x403692609997476900 , 1695831200910x655912403449751700 , 1695836053339x334750943819928500 , 1695836054837x409777276932312900 , 1695836056625x698490246932250900 , 1695836057539x841092884460222100 , 1695831212896x876049415601754000 , 1695831201919x939463238120724900 , 1695831214095x897278236614363600 , 1696265496334x599205008865932200 , 1696265497403x850722399566606700 , 1696265498318x653448679837814900","['comfortable yet stylish', 'classic and timeless', 'premium brands', 'minimalistic', 'fitness and wellness', 'travel and adventure', 'tech and gadgets', 'books and learning']","['fitness and wellness', 'travel and adventure', 'tech and gadgets', 'books and learning']","['comfortable yet stylish', 'classic and timeless', 'premium brands', 'minimalistic']",['anniversaries'],['female'],['under 12'],['spouse or significant other'],1695836031004x236058207429328900, 1695836031004x236058207429328900 ,1694722217997x980919365130472000,"Sep 15, 2023 1:40 am","Oct 5, 2023 1:27 am","{'interest': ['fitness and wellness', 'travel and adventure', 'tech and gadgets', 'books and learning'], 'style': ['comfortable yet stylish', 'classic and timeless', 'premium brands', 'minimalistic'], 'occasion': ['anniversaries'], 'gender': ['female'], 'age_category': ['under 12'], 'relationship': ['spouse or significant other']}",[],['1696265572816x168187797879475900'],unq_id-3
4,4,4,6514549ff4ba6d036de2d8ea,1696265547104x845927783674413000,1696265568959x799696197241046800,"(data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector)","1696265543991x556916600533235500 , 1696265544791x893724028251703400 , 1696265545828x911224905631472300 , 1696265546759x302554275626445200 , 1696265547717x944390873117582300 , 1696265548657x157862269626190200 , 1696265549614x694079396316065700 , 1696265550607x548617498236201100 , 1696265551637x268348827307820740 , 1696265552652x103191292250754740 , 1696265553642x796662710988111000 , 1696265554668x858081380643043500 , 1696265555701x401857524822091700 , 1696265556681x519153699811399700 , 1696265557652x143593466685808980 , 1696265559159x105518056035937010 , 1696265559833x589350409888654200 , 1696265560845x411613244597730940 , 1696265561735x795128867961741800 , 1696265562816x496162930983332000 , 1696265563909x633299248895936800 , 1696265564972x742251055948735000 , 1696265565991x342433710379787460 , 1696265566782x519965294085110100 , 1696265567814x264835936624106660 , 1696265568959x799696197241046800 , 1696265570106x287668230200030620 , 1696265570751x936264039365242200 , 1696265572022x375387490468441100 , 1696265572816x168187797879475900","['classic and timeless', 'premium brands', 'comfortable yet stylish', 'minimalistic', 'tech and gadgets', 'books and learning', 'fashion and accessories', 'travel and adventure', 'food and cooking', 'music and entertainment', 'arts and crafts']","['tech and gadgets', 'books and learning', 'fashion and accessories', 'travel and adventure', 'food and cooking', 'music and entertainment', 'arts and crafts']","['classic and timeless', 'premium brands', 'comfortable yet stylish', 'minimalistic']",['promotions and achievements'],['male'],['under 12'],['friend'],1696265547104x845927783674413000, 1696265547104x845927783674413000 ,1694722217997x980919365130472000,"Sep 15, 2023 1:40 am","Oct 5, 2023 1:27 am","{'interest': ['tech and gadgets', 'books and learning', 'fashion and accessories', 'travel and adventure', 'food and cooking', 'music and entertainment', 'arts and crafts'], 'style': ['classic and timeless', 'premium brands', 'comfortable yet stylish', 'minimalistic'], 'occasion': ['promotions and achievements'], 'gender': ['male'], 'age_category': ['under 12'], 'relationship': ['friend']}",[],"['1696351122961x182155116940982530', '1696265549614x694079396316065700', '1695831215833x210457796051987550']",unq_id-4
5,5,5,651dc398bb9074351ae8ef9e,1696449435752x194077935650734080,,"(data from API connector) , (data from API connector) , (data from API connector)","1696265496334x599205008865932200 , 1696265497403x850722399566606700 , 1696265498318x653448679837814900","['comfortable yet stylish', 'minimalistic', 'chill', 'books and learning', 'fashion and accessories', 'travel and adventure', 'spirituality']","['books and learning', 'fashion and accessories', 'travel and adventure', 'spirituality']","['comfortable yet stylish', 'minimalistic', 'chill']",['appreciation'],['female'],['under 12'],['spouse or significant other'],1696449435752x194077935650734080, 1696449435752x194077935650734080,1694722217997x980919365130472000,"Sep 15, 2023 1:40 am","Oct 5, 2023 1:27 am","{'interest': ['books and learning', 'fashion and accessories', 'travel and adventure', 'spirituality'], 'style': ['comfortable yet stylish', 'minimalistic', 'chill'], 'occasion': ['appreciation'], 'gender': ['female'], 'age_category': ['under 12'], 'relationship': ['spouse or significant other']}",[],"['1694623250463x734250124896653000', '1696265559833x589350409888654200', '1694624182900x745874876437097200', '1695831208210x172904031718950300']",unq_id-5
6,6,6,651e262fbb9074351ae8efb6,1696474670485x888868772398497800,,"(data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector)","1695942601474x177590380869441200 , 1696474672437x972109827251508100 , 1696474673451x284908406278138620 , 1696474674425x568997434092154900 , 1695942627369x480666362334261950 , 1696474676446x513714117324196350 , 1695942613406x489355204015536000 , 1696474678657x711786333788958500 , 1696474679465x514839713381415100 , 1695942602446x422012243339750660 , 1695942603345x176319672058410600 , 1695942604548x763821546127128300 , 1695942600357x419393516727613060 , 1695942606558x569238888724172800 , 1695942616424x954139705547970300 , 1695942607494x101333340793251950 , 1696474687570x999695260058153500 , 1695942610434x580175664502505100 , 1696474689552x596586468642527500 , 1696474690512x712111021929019000 , 1696474691427x321573053330085400 , 1696474692510x664876460446185000 , 1696474693584x452386809026744640 , 1696474694624x298996697716526600 , 1696474695569x607810664190067800 , 1695942618369x886667192040005400 , 1696474697498x286205480882494300 , 1696474698563x693083562287654100 , 1695942619381x401387138660709300 , 1696474700813x578258718697241000","['comfortable yet stylish', 'bougie', 'classic and timeless', 'fashion and accessories', 'spirituality']","['fashion and accessories', 'spirituality']","['comfortable yet stylish', 'bougie', 'classic and timeless']",['birthdays'],['female'],['under 12'],['parent'],1696474670485x888868772398497800,1696474670485x888868772398497800 ,1696351016637x553185888227210240,"Oct 3, 2023 10:06 pm","Oct 8, 2023 8:44 pm","{'interest': ['fashion and accessories', 'spirituality'], 'style': ['comfortable yet stylish', 'bougie', 'classic and timeless'], 'occasion': ['birthdays'], 'gender': ['female'], 'age_category': ['under 12'], 'relationship': ['parent']}",[],"['1694624872079x759979625854439800', '1696474676446x513714117324196350', '1700977806289x430252729878543500', '1696351107279x379353452627548800']",unq_id-6
7,7,7,652184c5bb9074351ae8f010,1696695492504x497512336551575550,,"(data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector)","1696265570751x936264039365242200 , 1696265549614x694079396316065700 , 1696265562816x496162930983332000 , 1696265545828x911224905631472300 , 1696265563909x633299248895936800 , 1696265550607x548617498236201100 , 1696265564972x742251055948735000 , 1696265565991x342433710379787460 , 1696265566782x519965294085110100 , 1696265567814x264835936624106660 , 1696265551637x268348827307820740 , 1696265568959x799696197241046800 , 1696265552652x103191292250754740 , 1696265546759x302554275626445200 , 1696265543991x556916600533235500 , 1696265570106x287668230200030620 , 1696265547717x944390873117582300 , 1696265553642x796662710988111000 , 1696265554668x858081380643043500 , 1696265555701x401857524822091700 , 1696265556681x519153699811399700 , 1696265544791x893724028251703400 , 1696265557652x143593466685808980 , 1696695516795x520844411841446800 , 1696695517863x248151472134366050 , 1696695518858x527211256736563900 , 1696265572022x375387490468441100 , 1696695520755x567025206035652200 , 1696695521767x281850332242308480 , 1696695523274x899756537142673300","['minimalistic', 'art and culture']",['art and culture'],['minimalistic'],['birthdays'],['male'],['45 - 65'],['spouse or significant other'],1696695492504x497512336551575550,1696695492504x497512336551575550,1696694804608x558115037813054600,"Oct 7, 2023 9:36 pm","Oct 7, 2023 9:48 pm","{'interest': ['art and culture'], 'style': ['minimalistic'], 'occasion': ['birthdays'], 'gender': ['male'], 'age_category': ['45 - 65'], 'relationship': ['spouse or significant other']}",[],"['1694623758278x192381823351694960', '1695942619381x401387138660709300', '1696450358930x716624120366235600', '1696351107879x791363214252172000']",unq_id-7
8,8,8,6522c750bb9074351ae8f042,1696778063807x371915107066183700,"1696778065187x934733550931766000 , 1696778066056x156823528466174080","(data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector)","1696778065187x934733550931766000 , 1696778066056x156823528466174080 , 1696778067041x156784314312198300 , 1696778068073x696558079371313200 , 1696778069036x258686144582702240","['classic and timeless', 'comfortable yet stylish', 'premium brands', 'chill', 'fitness and wellness', 'tech and gadgets', 'fashion and accessories', 'books and learning', 'travel and adventure', 'food and cooking']","['fitness and wellness', 'tech and gadgets', 'fashion and accessories', 'books and learning', 'travel and adventure', 'food and cooking']","['classic and timeless', 'comfortable yet stylish', 'premium brands', 'chill']",['birthdays'],['male'],['45 - 65'],['friend'],1696778063807x371915107066183700, 1696778063807x371915107066183700,1696351016637x553185888227210240,"Oct 3, 2023 10:06 pm","Oct 8, 2023 8:44 pm","{'interest': ['fitness and wellness', 'tech and gadgets', 'fashion and accessories', 'books and learning', 'travel and adventure', 'food and cooking'], 'style': ['classic and timeless', 'comfortable yet stylish', 'premium brands', 'chill'], 'occasion': ['birthdays'], 'gender': ['male'], 'age_category': ['45 - 65'], 'relationship': ['friend']}",[],"['1695942621337x102411879911716200', '1704795726314x911665628056125400']",unq_id-8
9,9,9,6562dc7bbb9074351ae8f0a6,1700977786985x296610151960412160,"1696265544791x893724028251703400 , 1696265546759x302554275626445200","(data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector) , (data from API connector)","1696265554668x858081380643043500 , 1696265544791x893724028251703400 , 1696265546759x302554275626445200 , 1696265547717x944390873117582300 , 1696265562816x496162930983332000 , 1696265563909x633299248895936800 , 1696265564972x742251055948735000 , 1696265565991x342433710379787460 , 1696265566782x519965294085110100 , 1696265551637x268348827307820740 , 1696265568959x799696197241046800 , 1696265552652x103191292250754740 , 1696265555701x401857524822091700 , 1696265556681x519153699811399700 , 1696265557652x143593466685808980 , 1696265559159x105518056035937010 , 1696265559833x589350409888654200 , 1696265560845x411613244597730940 , 1700977806289x430252729878543500 , 1696265548657x157862269626190200 , 1696265549614x694079396316065700 , 1696265545828x911224905631472300 , 1696265550607x548617498236201100 , 1696265567814x264835936624106660 , 1696265543991x556916600533235500 , 1696265570106x287668230200030620 , 1696265553642x796662710988111000 , 1700977815257x280790147125984830 , 1696695517863x248151472134366050 , 1696695518858x527211256736563900","['classic and timeless', 'comfortable yet stylish', 'fitness and wellness', 'fashion and accessories', 'beauty and self-care']","['fitness and wellness', 'fashion and accessories', 'beauty and self-care']","['classic and timeless', 'comfortable yet stylish']",['anniversaries'],['female'],['45 - 65'],['spouse or significant other'],1700977786985x296610151960412160,1700977786985x296610151960412160 ,1700977606514x644347371288049400,"Nov 26, 2023 11:16 am","Dec 12, 2023 11:12 am","{'interest': ['fitness and wellness', 'fashion and accessories', 'beauty and self-care'], 'style': ['classic and timeless', 'comfortable yet stylish'], 'occasion': ['anniversaries'], 'gender': ['female'], 'age_category': ['45 - 65'], 'relationship': ['spouse or significant other']}",[],"['1695942625356x987948487080829400', '1694620675339x495948848736904400', '1694623257321x523643092010347840', '1695836032809x956121655305794900']",unq_id-9
